IATA,ICAO,Airport Name,City Served,Region,Location,Time Zone,Runways Count,Terminal Count,International Status,Owned By,Operated By,Website URL,Date Opened
INN,LOWI,Innsbruck Airport,Innsbruck,Tyrol,"Innsbruck, Austria",UTC+01:00,1,1,International,Tiroler Flughafenbetriebsgesellschaft,Tiroler Flughafenbetriebsgesellschaft,https://www.innsbruck-airport.com/,1925
INV,EGPE,Inverness Airport,Inverness,Scotland,"Dalcross, Inverness, Scotland",UTC+00:00,2,1,International,Highlands and Islands Airports,Highlands and Islands Airports,https://www.hial.co.uk/,1947
IOM,EGNS,Isle of Man Airport,Isle of Man,Isle of Man,"Ronaldsway, Isle of Man",UTC+00:00,1,1,International,Isle of Man Government,Isle of Man Government,https://www.iom-airport.com/,1929
ISB,OPIS,Islamabad International Airport,Islamabad,Islamabad Capital Territory,"Fateh Jang, Islamabad, Pakistan",UTC+05:00,1,1,International,Pakistan Civil Aviation Authority,Pakistan Civil Aviation Authority,https://www.islamabad-airport.com/,2018
ISC,EGHE,St Mary's Airport,St Mary's,Isles of Scilly,"St Mary's, Isles of Scilly, England",UTC+00:00,2,1,Domestic,Council of the Isles of Scilly,Council of the Isles of Scilly,https://www.islesofscilly-travel.co.uk/,1937
IST,LTFM,Istanbul Airport,Istanbul,Istanbul Province,"Arnavutköy, Istanbul, Turkey",UTC+03:00,4,1,International,IGA (Istanbul Grand Airport),IGA,https://www.istairport.com/,2018
ISU,ORBS,Sulaymaniyah International Airport,Sulaymaniyah,Sulaymaniyah Governorate,"Sulaymaniyah, Iraq",UTC+03:00,1,1,International,Kurdistan Regional Government,Sulaymaniyah International Airport,https://www.sulairport.krd/,2005
IVL,EFIV,Ivalo Airport,Ivalo,Lapland,"Ivalo, Finland",UTC+02:00,1,1,International,Finavia,Finavia,https://www.finavia.fi/,1943
JED,OEJN,King Abdulaziz International Airport,Jeddah,Mecca Province,"Jeddah, Saudi Arabia",UTC+03:00,3,3,International,General Authority of Civil Aviation,General Authority of Civil Aviation,https://www.jed-airport.com/,1981
JER,EGJJ,Jersey Airport,Jersey,Channel Islands,"Saint Peter, Jersey, Channel Islands",UTC+00:00,1,1,International,Ports of Jersey,Ports of Jersey,https://www.jerseyairport.com/,1937
JFK,KJFK,John F. Kennedy International Airport,New York City,New York,"Queens, New York City, USA",UTC-05:00,4,6,International,Port Authority of New York and New Jersey,Port Authority of New York and New Jersey,https://www.jfkairport.com/,1948
JKG,ESGJ,Jönköping Airport,Jönköping,Jönköping County,"Jönköping, Sweden",UTC+01:00,1,1,International,Jönköping Airport AB,Jönköping Airport AB,https://www.jonkopingairport.se/,1961
JMK,LGMK,Mykonos Airport,Mykonos,South Aegean,"Mykonos, Greece",UTC+02:00,1,1,International,Fraport Greece,Fraport Greece,https://www.jmk-airport.gr/,1971
JNB,FAOR,O. R. Tambo International Airport,Johannesburg,Gauteng,"Kempton Park, Johannesburg, South Africa",UTC+02:00,2,2,International,Airports Company South Africa,Airports Company South Africa,https://www.airports.co.za/,1952
JSI,LGSK,Skiathos Alexandros Papadiamantis Airport,Skiathos,Thessaly,"Skiathos, Greece",UTC+02:00,1,1,International,Fraport Greece,Fraport Greece,https://www.jsi-airport.gr/,1972
JTR,LGSR,Santorini (Thira) International Airport,Santorini,South Aegean,"Kamari, Santorini, Greece",UTC+02:00,1,1,International,Fraport Greece,Fraport Greece,https://www.jtr-airport.gr/,1972
KAO,EFKS,Kuopio Airport,Kuopio,North Savo,"Siilinjärvi, Kuopio, Finland",UTC+02:00,2,1,International,Finavia,Finavia,https://www.finavia.fi/,1939
KBP,UKBB,Boryspil International Airport,Kyiv,Kyiv Oblast,"Boryspil, Kyiv, Ukraine",UTC+02:00,2,2,International,Ukraine International Airports,Ukraine International Airports,https://www.kbp.aero/,1959
KEF,BIKF,Keflavík International Airport,Reykjavík,Southern Peninsula,"Keflavík, Reykjavík, Iceland",UTC+00:00,2,1,International,Isavia,Isavia,https://www.isavia.is/,1943
KGL,HRYR,Kigali International Airport,Kigali,Kigali Province,"Kigali, Rwanda",UTC+02:00,1,1,International,Rwanda Airports Company,Rwanda Airports Company,https://www.rac.gov.rw/,1964
KGS,LGKO,Kos International Airport,Kos,South Aegean,"Antimachia, Kos, Greece",UTC+02:00,1,1,International,Fraport Greece,Fraport Greece,https://www.kgs-airport.gr/,1964
KIN,MKJP,Norman Manley International Airport,Kingston,Surrey County,"Palisadoes, Kingston, Jamaica",UTC-05:00,1,1,International,Airports Authority of Jamaica,NMIA Airports Limited,https://www.nmia.aero/,1948
KIR,EIKY,Kerry Airport,Kerry,County Kerry,"Farranfore, Kerry, Ireland",UTC+00:00,1,1,International,Kerry Airport plc,Kerry Airport plc,https://www.kerryairport.ie/,1969
KIV,LUKK,Chișinău International Airport,Chișinău,Chișinău,"Chișinău, Moldova",UTC+02:00,1,1,International,Chișinău International Airport,Chișinău International Airport,https://www.airport.md/,1970
KLU,LOWK,Klagenfurt Airport,Klagenfurt,Carinthia,"Klagenfurt, Austria",UTC+01:00,1,1,International,Kärntner Flughäfen Betriebsgesellschaft,Kärntner Flughäfen Betriebsgesellschaft,https://www.airport-klagenfurt.at/,1914
KLV,LKKV,Karlovy Vary Airport,Karlovy Vary,Karlovy Vary Region,"Karlovy Vary, Czech Republic",UTC+01:00,1,1,International,Karlovy Vary Airport Ltd.,Karlovy Vary Airport Ltd.,https://www.airport-k-vary.cz/,1962
KLX,LGKL,Kalamata International Airport,Kalamata,Messenia,"Kalamata, Greece",UTC+02:00,1,1,International,Hellenic Civil Aviation Authority,Hellenic Civil Aviation Authority,https://www.klx-airport.gr/,1959
KMS,FGKM,Kumasi International Airport,Kumasi,Ashanti Region,"Kumasi, Ghana",UTC+00:00,1,1,International,Ghana Airports Company Limited,Ghana Airports Company Limited,https://www.ghanaairports.com.gh/,1943
KNF,EGSG,Marham Airport,King's Lynn,Norfolk,"Marham, Norfolk, England",UTC+00:00,2,1,Military,UK Ministry of Defence,UK Ministry of Defence,,1916
KOI,EGPA,Kirkwall Airport,Kirkwall,Orkney Islands,"Kirkwall, Orkney, Scotland",UTC+00:00,3,1,Domestic,Highlands and Islands Airports,Highlands and Islands Airports,https://www.hial.co.uk/,1940
KRH,EGKR,Redhill Aerodrome,Redhill,England,"Redhill, Surrey, England",UTC+00:00,3,1,Domestic,Redhill Aerodrome Ltd.,Redhill Aerodrome Ltd.,https://www.redhillaerodrome.com/,1934
KRK,EPKK,Kraków John Paul II International Airport,Kraków,Lesser Poland,"Balice, Kraków, Poland",UTC+01:00,1,2,International,Kraków Airport Ltd.,Kraków Airport Ltd.,https://www.krakowairport.pl/,1964
KRP,EKKA,Karup Airport,Karup,Central Denmark,"Karup, Denmark",UTC+01:00,1,1,International,Karup Lufthavn A/S,Karup Lufthavn A/S,https://www.karup-airport.dk/,1965
KRS,ENCN,Kristiansand Airport,Kristiansand,Agder,"Kjevik, Kristiansand, Norway",UTC+01:00,1,1,International,Avinor,Avinor,https://www.avinor.no/,1939
KRT,HSSK,Khartoum International Airport,Khartoum,Khartoum State,"Khartoum, Sudan",UTC+02:00,1,2,International,Sudan Airports Company,Sudan Airports Company,https://www.khartoum-airport.com/,1947
KSC,LZKZ,Košice International Airport,Košice,Košice Region,"Košice, Slovakia",UTC+01:00,1,1,International,Košice International Airport,Košice International Airport,https://www.airportkosice.sk/,1950
KSF,EDCK,Kassel Airport,Kassel,Hesse,"Calden, Kassel, Germany",UTC+01:00,1,1,International,Flughafen Kassel GmbH,Flughafen Kassel GmbH,https://www.kassel-airport.aero/,1970
KSU,ENKB,Kristiansund Airport,Kristiansund,Møre og Romsdal,"Kvernberget, Kristiansund, Norway",UTC+01:00,2,1,International,Avinor,Avinor,https://www.avinor.no/,1970
KTT,EFKT,Kittilä Airport,Kittilä,Lapland,"Kittilä, Finland",UTC+02:00,1,1,International,Finavia,Finavia,https://www.finavia.fi/,1983
KTW,EPKT,Katowice International Airport,Katowice,Silesian,"Pyrzowice, Katowice, Poland",UTC+01:00,2,3,International,Górnośląskie Towarzystwo Lotnicze,Górnośląskie Towarzystwo Lotnicze,https://www.katowice-airport.com/,1966
KUL,WMKK,Kuala Lumpur International Airport,Kuala Lumpur,Selangor,"Sepang, Selangor, Malaysia",UTC+08:00,3,2,International,Malaysia Airports Holdings,Malaysia Airports Holdings,https://www.klia.com.my/,1998
KUN,EYKA,Kaunas Airport,Kaunas,Kaunas County,"Karmėlava, Kaunas, Lithuania",UTC+02:00,1,1,International,Lithuanian Airports,Lithuanian Airports,https://www.kaunas-airport.lt/,1988
KVA,LGKV,Kavala International Airport,Kavala,East Macedonia and Thrace,"Chrysoupoli, Kavala, Greece",UTC+02:00,1,1,International,Fraport Greece,Fraport Greece,https://www.kva-airport.gr/,1952
KWI,OKBK,Kuwait International Airport,Kuwait City,Al Farwaniyah,"Farwaniya, Kuwait City, Kuwait",UTC+03:00,2,3,International,Directorate General of Civil Aviation,Directorate General of Civil Aviation,https://www.kuwait-airport.com.kw/,1960
LAS,KLAS,Harry Reid International Airport,Las Vegas,Nevada,"Paradise, Nevada, USA",UTC-08:00,4,2,International,Clark County,Clark County Department of Aviation,https://www.harryreidairport.com/,1942
LAX,KLAX,Los Angeles International Airport,Los Angeles,California,"Los Angeles, California, USA",UTC-08:00,9,9,International,Los Angeles World Airports,Los Angeles World Airports,https://www.flylax.com/,1928
LBA,EGNM,Leeds Bradford Airport,Leeds,England,"Yeadon, West Yorkshire, England",UTC+00:00,1,1,International,Leeds Bradford Airport Ltd.,Leeds Bradford Airport Ltd.,https://www.leedsbradfordairport.co.uk/,1931
LBC,EDHL,Lübeck Airport,Lübeck,Schleswig-Holstein,"Lübeck, Germany",UTC+01:00,1,1,International,Flughafen Lübeck GmbH,Flughafen Lübeck GmbH,https://www.flughafen-luebeck.de/,1917
LBG,LFPB,Paris–Le Bourget Airport,Paris,Île-de-France,"Le Bourget, Paris, France",UTC+01:00,3,1,International,Groupe ADP,Groupe ADP,https://www.parisaeroport.fr/,1919
LCA,LCLK,Larnaca International Airport,Larnaca,Larnaca District,"Larnaca, Cyprus",UTC+02:00,1,1,International,Hermes Airports,Hermes Airports,https://www.hermesairports.com/,1975
LCG,LECO,A Coruña Airport,A Coruña,Galicia,"Culleredo, A Coruña, Spain",UTC+01:00,1,1,International,AENA,AENA,https://www.aena.es/,1963
LCJ,EPLL,Łódź Władysław Reymont Airport,Łódź,Łódź Voivodeship,"Łódź, Poland",UTC+01:00,1,1,International,Port Lotniczy Łódź S.A.,Port Lotniczy Łódź S.A.,https://www.lodz-airport.pl/,1925
LCY,EGLC,London City Airport,London,England,"Silvertown, Newham, London, England",UTC+00:00,1,1,International,Private consortium,London City Airport Ltd.,https://www.londoncityairport.com/,1987
LDE,LFBT,Tarbes–Lourdes–Pyrénées Airport,Lourdes,Occitanie,"Ossun, Lourdes, France",UTC+01:00,2,1,International,CCI de Tarbes,CCI de Tarbes,https://www.tlp.aeroport.fr/,1934
LDY,EGAE,City of Derry Airport,Derry,Northern Ireland,"Eglinton, County Londonderry, Northern Ireland",UTC+00:00,1,1,International,Derry City and Strabane District Council,City of Derry Airport Operations,https://www.cityofderryairport.com/,1978
LEI,LEAM,Almería Airport,Almería,Andalusia,"Almería, Spain",UTC+01:00,1,1,International,AENA,AENA,https://www.aena.es/,1968
LEJ,EDDP,Leipzig/Halle Airport,Leipzig,Saxony,"Schkeuditz, Leipzig, Germany",UTC+01:00,2,2,International,Mitteldeutsche Flughafen AG,Mitteldeutsche Flughafen AG,https://www.leipzig-halle-airport.de/,1927
LEN,LELN,León Airport,León,Castile and León,"La Virgen del Camino, León, Spain",UTC+01:00,2,1,International,AENA,AENA,https://www.aena.es/,1999
LEQ,EGMD,Land's End Airport,St Just,Cornwall,"St Just, Cornwall, England",UTC+00:00,4,1,Domestic,Council of the Isles of Scilly,Land's End Airport Ltd.,https://www.landsendairport.co.uk/,1937
LGG,EBLG,Liège Airport,Liège,Wallonia,"Grâce-Hollogne, Liège, Belgium",UTC+01:00,2,1,International,Liège Airport S.A.,Liège Airport S.A.,https://www.liegeairport.com/,1930
LGW,EGKK,London Gatwick Airport,London,England,"Crawley, West Sussex, England",UTC+00:00,2,2,International,Gatwick Airport Limited,VINCI Airports,https://www.gatwickairport.com/,1933
LHE,OPLA,Allama Iqbal International Airport,Lahore,Punjab,"Lahore, Pakistan",UTC+05:00,1,2,International,Pakistan Civil Aviation Authority,Pakistan Civil Aviation Authority,https://www.lahore-airport.com/,1962
LHR,EGLL,London Heathrow Airport,London,England,"Hillingdon, London, England",UTC+00:00,2,4,International,Heathrow Airport Holdings,Heathrow Airport Holdings,https://www.heathrow.com/,1946
LIG,LFBL,Limoges–Bellegarde Airport,Limoges,Nouvelle-Aquitaine,"Limoges, France",UTC+01:00,1,1,International,CCI de Limoges,CCI de Limoges,https://www.aeroportlimoges.com/,1970
LIL,LFLS,Lille Airport,Lille,Hauts-de-France,"Lesquin, Lille, France",UTC+01:00,1,1,International,Société de Gestion de l'Aéroport de Lille,Société de Gestion de l'Aéroport de Lille,https://www.lille.aeroport.fr/,1936
LIM,SPJC,Jorge Chávez International Airport,Lima,Lima,"Callao, Lima, Peru",UTC-05:00,2,1,International,Lima Airport Partners,Lima Airport Partners,https://www.lima-airport.com/,1960
LIN,LIMC,Milan Linate Airport,Milan,Lombardy,"Segrate, Milan, Italy",UTC+01:00,1,1,International,SEA – Aeroporti di Milano,SEA – Aeroporti di Milano,https://www.milanolinate-airport.com/,1937
LIR,MRLB,Daniel Oduber Quirós International Airport,Liberia,Guanacaste,"Liberia, Guanacaste, Costa Rica",UTC-06:00,1,1,International,General Directorate of Civil Aviation,CORIPORT,https://www.liberiacostaricaairport.com/,1977
LIS,LPPT,Humberto Delgado Airport,Lisbon,Lisbon,"Lisbon, Portugal",UTC+00:00,2,2,International,ANA Aeroportos de Portugal,ANA Aeroportos de Portugal,https://www.aeroportolisboa.pt/,1942
LJU,LJLJ,Ljubljana Jože Pučnik Airport,Ljubljana,Upper Carniola,"Brnik, Ljubljana, Slovenia",UTC+01:00,1,1,International,Fraport Slovenija,Fraport Slovenija,https://www.lju-airport.si/,1963
LLA,ESPA,Luleå Airport,Luleå,Norrbotten,"Luleå, Sweden",UTC+01:00,1,1,International,Swedavia,Swedavia,https://www.swedavia.com/,1944
LLW,FQTT,Lilongwe International Airport,Lilongwe,Central Region,"Lilongwe, Malawi",UTC+02:00,1,1,International,Malawi Airports Company,Malawi Airports Company,https://www.malawiairports.com/,1961
LNZ,LOWL,Linz Airport,Linz,Upper Austria,"Hörsching, Linz, Austria",UTC+01:00,2,1,International,Flughafen Linz GesmbH,Flughafen Linz GesmbH,https://www.linz-airport.com/,1955
LOS,DNMM,Murtala Muhammed International Airport,Lagos,Lagos State,"Ikeja, Lagos, Nigeria",UTC+01:00,2,2,International,Federal Airports Authority of Nigeria,Federal Airports Authority of Nigeria,https://www.faannigeria.org/,1979
LPA,GCLP,Gran Canaria Airport,Las Palmas,Canary Islands,"Telde, Gran Canaria, Spain",UTC+00:00,1,1,International,AENA,AENA,https://www.aena.es/,1930
LPL,EGGP,Liverpool John Lennon Airport,Liverpool,England,"Speke, Liverpool, England",UTC+00:00,1,1,International,Liverpool Airport Ltd.,Liverpool Airport Ltd.,https://www.liverpoolairport.com/,1933
LRH,LFRH,Lorient South Brittany Airport,Lorient,Brittany,"Ploemeur, Lorient, France",UTC+01:00,2,1,International,CCI de Lorient,CCI de Lorient,https://www.lorient.aeroport.fr/,1951
LRM,MDLR,Casa de Campo International Airport,La Romana,La Romana Province,"La Romana, Dominican Republic",UTC-04_reports,1,1,International,Private ownership,Private ownership,https://www.casa-de-campo.com.do/,2000
LSI,EGPB,Sumburgh Airport,Lerwick,Shetland Islands,"Sumburgh, Shetland, Scotland",UTC+00:00,2,1,Domestic,Highlands and Islands Airports,Highlands and Islands Airports,https://www.hial.co.uk/,1937
LSMP,LSMP,Payerne Air Base,Payerne,Vaud,"Payerne, Switzerland",UTC+01:00,2,1,Military,Swiss Air Force,Swiss Air Force,,1921
LTN,EGGW,London Luton Airport,London,England,"Luton, Bedfordshire, England",UTC+00:00,1,2,International,Luton Borough Council,LLA Operations Ltd.,https://www.london-luton.co.uk/,1938
LTQ,LFRG,Le Touquet–Côte d'Opale Airport,Le Touquet,Hauts-de-France,"Le Touquet-Paris-Plage, France",UTC+01:00,2,1,International,Société d'Exploitation de l'Aéroport du Touquet,Société d'Exploitation de l'Aéroport du Touquet,https://www.aeroport-letouquet.com/,1936
LUX,ELLX,Luxembourg Airport,Luxembourg,Luxembourg,"Findel, Luxembourg",UTC+01:00,1,2,International,Luxair,Luxair,https://www.lux-airport.lu/,1937
LUZ,EPLB,Lublin Airport,Lublin,Lublin Voivodeship,"Świdnik, Lublin, Poland",UTC+01:00,1,1,International,Lublin Airport S.A.,Lublin Airport S.A.,https://www.airport.lublin.pl/,2012
LWO,UKLL,Lviv Danylo Halytskyi International Airport,Lviv,Lviv Oblast,"Lviv, Ukraine",UTC+02:00,1,2,International,Lviv International Airport,Lviv International Airport,https://www.lwo.aero/,1929
LXR,HELX,Luxor International Airport,Luxor,Luxor Governorate,"Luxor, Egypt",UTC+02:00,1,1,International,Egyptian Holding Company for Airports,Egyptian Holding Company for Airports,https://www.luxor-airport.com/,1950
LXS,LGLM,Lemnos International Airport,Lemnos,North Aegean,"Myrina, Lemnos, Greece",UTC+02:00,1,1,International,Hellenic Civil Aviation Authority,Hellenic Civil Aviation Authority,https://www.lxs-airport.gr/,1958
LYR,ENSB,Svalbard Airport, Longyear,Longyearbyen,"Longyearbyen, Svalbard, Norway",UTC+01:00,1,1,International,Avinor,Avinor,https://www.avinor.no/,1975
LYS,LFLL,Lyon–Saint-Exupéry Airport,Lyon,Auvergne-Rhône-Alpes,"Colombier-Saugnieu, Lyon, France",UTC+01:00,2,3,International,VINCI Airports,VINCI Airports,https://www.lyonaeroports.com/,1975
MAA,VOMM,Chennai International Airport,Chennai,Tamil Nadu,"Tirusulam, Chennai, India",UTC+05:30,2,4,International,Airports Authority of India,Airports Authority of India,https://www.aai.aero/,1910
MAD,LEMD,Adolfo Suárez Madrid–Barajas Airport,Madrid,Madrid,"Barajas, Madrid, Spain",UTC+01:00,4,4,International,AENA,AENA,https://www.aena.es/,1931
MAH,LEMG,Menorca Airport,Mahón,Balearic Islands,"Mahón, Menorca, Spain",UTC+01:00,1,1,International,AENA,AENA,https://www.aena.es/,1969
MAN,EGCC,Manchester Airport,Manchester,England,"Ringway, Manchester, England",UTC+00:00,2,3,International,Manchester Airports Group,Manchester Airports Group,https://www.manchesterairport.co.uk/,1938
MBJ,MKJS,Sangster International Airport,Montego Bay,Saint James Parish,"Montego Bay, Jamaica",UTC-05:00,1,1,International,MBJ Airports Limited,MBJ Airports Limited,https://www.mbjairport.com/,1947
MCI,KMCI,Kansas City International Airport,Kansas City,Missouri,"Kansas City, Missouri, USA",UTC-06:00,3,2,International,Kansas City Aviation Department,Kansas City Aviation Department,https://www.flykci.com/,1972
MCO,KMCO,Orlando International Airport,Orlando,Florida,"Orlando, Florida, USA",UTC-05:00,4,2,International,Greater Orlando Aviation Authority,Greater Orlando Aviation Authority,https://www.orlandoairports.net/,1961
MCT,OOMS,Muscat International Airport,Muscat,Muscat Governorate,"Seeb, Muscat, Oman",UTC+04:00,2,2,International,Oman Airports Management Company,Oman Airports Management Company,https://www.mct-airport.com/,1973
MEL,YMML,Melbourne Airport,Melbourne,Victoria,"Tullamarine, Melbourne, Australia",UTC+10:00,4,4,International,Australia Pacific Airports Corporation,Australia Pacific Airports Corporation,https://www.melbourneairport.com.au/,1970
MEX,MMMX,Mexico City International Airport,Mexico City,Mexico City,"Venustiano Carranza, Mexico City, Mexico",UTC-06:00,2,2,International,Grupo Aeroportuario de la Ciudad de México,Grupo Aeroportuario de la Ciudad de México,https://www.aicm.com.mx/,1931
MGL,EDLN,Mönchengladbach Airport,Mönchengladbach,North Rhine-Westphalia,"Mönchengladbach, Germany",UTC+01:00,1,1,International,Flughafen Mönchengladbach GmbH,Flughafen Mönchengladbach GmbH,https://www.mgl.de/,1955
MIA,KMIA,Miami International Airport,Miami,Florida,"Miami-Dade County, Florida, USA",UTC-05:00,3,3,International,Miami-Dade County,Miami-Dade Aviation Department,https://www.miami-airport.com/,1928
MJT,LGMT,Mytilene International Airport,Mytilene,Lesbos,"Mytilene, Lesbos, Greece",UTC+02:00,1,1,International,Hellenic Civil Aviation Authority,Hellenic Civil Aviation Authority,https://www.mjt-airport.gr/,1948
MJV,LELC,Región de Murcia International Airport,Murcia,Murcia,"Corvera, Murcia, Spain",UTC+01:00,1,1,International,AENA,AENA,https://www.aena.es/,2019
MLA,LMML,Malta International Airport,Valletta,Luqa,"Luqa, Malta",UTC+01:00,1,1,International,Malta International Airport plc,Malta International Airport plc,https://www.maltairport.com/,1954
MLB,KMLB,Melbourne Orlando International Airport,Melbourne,Florida,"Melbourne, Florida, USA",UTC-05:00,3,1,International,Melbourne Airport Authority,Melbourne Airport Authority,https://www.mlbair.com/,1926
MLE,VRMM,Velana International Airport,Malé,Malé,"Hulhulé, Malé, Maldives",UTC+05:00,1,3,International,Maldives Airports Company,Maldives Airports Company,https://www.macls.aero/,1966
MLH,LFSB,EuroAirport Basel Mulhouse Freiburg,Freiburg,Baden-Württemberg,"Saint-Louis, France",UTC+01:00,1,1,International,EuroAirport Basel Mulhouse Freiburg,EuroAirport Basel Mulhouse Freiburg,https://www.euroairport.com/,1946
MLI,KMLI,Quad City International Airport,Moline,Illinois,"Moline, Illinois, USA",UTC-06:00,3,1,International,Metropolitan Airport Authority,Metropolitan Airport Authority,https://www.qcairport.com/,1932
MME,EGNV,Durham Tees Valley Airport,Darlington,England,"Middleton St George, Darlington, England",UTC+00:00,1,1,International,Peel Airports,Peel Airports,https://www.teessideinternational.com/,1964
MMX,ESMS,Malmö Airport,Malmö,Skåne,"Svedala, Malmö, Sweden",UTC+01:00,2,1,International,Swedavia,Swedavia,https://www.swedavia.com/,1972
MNL,RPLL,Ninoy Aquino International Airport,Manila,Metro Manila,"Pasay, Manila, Philippines",UTC+08:00,3,4,International,Manila International Airport Authority,Manila International Airport Authority,https://www.miaa.gov.ph/,1948
MOL,ENML,Molde Airport,Molde,Møre og Romsdal,"Årø, Molde, Norway",UTC+01:00,1,1,International,Avinor,Avinor,https://www.avinor.no/,1972
MOT,KMOT,Minot International Airport,Minot,North Dakota,"Minot, North Dakota, USA",UTC-06:00,2,1,International,City of Minot,Minot Airport Authority,https://www.airport.motnd.org/,1930
MPL,LFMT,Montpellier–Méditerranée Airport,Montpellier,Occitanie,"Mauguio, Montpellier, France",UTC+01:00,2,1,International,CCI de Montpellier,CCI de Montpellier,https://www.montpellier.aeroport.fr/,1946
MRS,LFML,Marseille Provence Airport,Marseille,Provence-Alpes-Côte d'Azur,"Marignane, Marseille, France",UTC+01:00,2,2,International,CCI de Marseille Provence,CCI de Marseille Provence,https://www.marseille.aeroport.fr/,1922
MRU,FIMP,Sir Seewoosagur Ramgoolam International Airport,Port Louis,Plaine Magnien,"Plaine Magnien, Mauritius",UTC+04:00,1,1,International,Airports of Mauritius Co. Ltd.,Airports of Mauritius Co. Ltd.,https://www.mauritius-airport.mu/,1942
MSP,KMSP,Minneapolis–Saint Paul International Airport,Minneapolis,Minnesota,"Fort Snelling, Minnesota, USA",UTC-06:00,4,2,International,Metropolitan Airports Commission,Metropolitan Airports Commission,https://www.mspairport.com/,1920
MST,EHBK,Maastricht Aachen Airport,Maastricht,Limburg,"Beek, Maastricht, Netherlands",UTC+01:00,1,1,International,Maastricht Aachen Airport NV,Maastricht Aachen Airport NV,https://www.maa.nl/,1945
MSY,KMSY,Louis Armstrong New Orleans International Airport,New Orleans,Louisiana,"Kenner, Louisiana, USA",UTC-06:00,3,1,International,New Orleans Aviation Board,New Orleans Aviation Board,https://www.flymsy.com/,1946
MUC,EDDM,Munich Airport,Munich,Bavaria,"Freising, Munich, Germany",UTC+01:00,2,2,International,Flughafen München GmbH,Flughafen München GmbH,https://www.munich-airport.de/,1992
MXP,LIMC,Milan Malpensa Airport,Milan,Lombardy,"Ferno, Milan, Italy",UTC+01:00,2,2,International,SEA – Aeroporti di Milano,SEA – Aeroporti di Milano,https://www.milanomalpensa-airport.com/,1958
NAP,LIRN,Naples International Airport,Naples,Campania,"Naples, Italy",UTC+01:00,1,1,International,GE.S.A.C. S.p.A.,GE.S.A.C. S.p.A.,https://www.aeroportodinapoli.it/,1950
NAS,MYNN,Lynden Pindling International Airport,Nassau,New Providence,"Nassau, Bahamas",UTC-05:00,2,3,International,Nassau Airport Development Company,Nassau Airport Development Company,https://www.nassaulpia.com/,1957
NAV,LTAZ,Nevşehir Kapadokya Airport,Nevşehir,Nevşehir Province,"Tuzköy, Nevşehir, Turkey",UTC+03:00,1,1,International,DHMI,DHMI,https://www.dhmi.gov.tr/,1998
NBE,DTNZ,Enfidha–Hammamet International Airport,Enfidha,Sousse Governorate,"Enfidha, Tunisia",UTC+01:00,1,1,International,TAV Airports,TAV Airports,https://www.enfidhahammametairport.com/,2009
NBO,HKJK,Jomo Kenyatta International Airport,Nairobi,Nairobi County,"Nairobi, Kenya",UTC+03:00,2,3,International,Kenya Airports Authority,Kenya Airports Authority,https://www.kaa.go.ke/,1958
NCE,LFMN,Nice Côte d'Azur Airport,Nice,Provence-Alpes-Côte d'Azur,"Nice, France",UTC+01:00,2,2,International,Aéroports de la Côte d'Azur,Aéroports de la Côte d'Azur,https://www.nice.aeroport.fr/,1929
NCL,EGNT,Newcastle International Airport,Newcastle upon Tyne,England,"Woolsington, Newcastle upon Tyne, England",UTC+00:00,1,1,International,Newcastle Airport Ltd.,Newcastle Airport Ltd.,https://www.newcastleairport.com/,1935
NDJ,FTTJ,N'Djamena International Airport,N'Djamena,N'Djamena,"N'Djamena, Chad",UTC+01:00,2,1,International,Agence pour la Sécurité de la Navigation Aérienne,Agence pour la Sécurité de la Navigation Aérienne,https://www.ndj-airport.com/,1960
NGO,RJGG,Chubu Centrair International Airport,Nagoya,Aichi,"Tokoname, Aichi, Japan",UTC+09:00,2,2,International,Central Japan International Airport Co.,Central Japan International Airport Co.,https://www.centrair.jp/,2005
NHT,EGWU,RAF Northolt,London,England,"Ruislip, Hillingdon, London, England",UTC+00:00,1,1,Military,UK Ministry of Defence,UK Ministry of Defence,https://www.raf.mod.uk/,1915
NKG,ZSNJ,Nanjing Lukou International Airport,Nanjing,Jiangsu,"Lukou, Nanjing, China",UTC+08:00,2,2,International,Nanjing Lukou International Airport Co.,Nanjing Lukou International Airport Co.,https://www.nanjing-airport.com/,1997
NOC,EINN,Shannon Airport,Shannon,County Clare,"Shannon, County Clare, Ireland",UTC+00:00,1,1,International,Shannon Airport Authority,Shannon Airport Authority,https://www.shannonairport.ie/,1942
NQY,EGHQ,Cornwall Airport Newquay,Newquay,Cornwall,"St Mawgan, Newquay, England",UTC+00:00,1,1,International,Cornwall Airport Ltd.,Cornwall Airport Ltd.,https://www.cornwallairportnewquay.com/,1939
NQZ,UACC,Nursultan Nazarbayev International Airport,Nur-Sultan,Akmola Region,"Nur-Sultan, Kazakhstan",UTC+05:00,2,2,International,Nursultan Nazarbayev International Airport JSC,Nursultan Nazarbayev International Airport JSC,https://www.nn-airport.kz/,1931
NRN,EDLV,Weeze Airport,Weeze,North Rhine-Westphalia,"Weeze, Germany",UTC+01:00,1,1,International,Flughafen Niederrhein GmbH,Flughafen Niederrhein GmbH,https://www.airport-weeze.com/,2003
NTE,LFGG,Nantes Atlantique Airport,Nantes,Pays de la Loire,"Bouguenais, Nantes, France",UTC+01:00,1,2,International,VINCI Airports,VINCI Airports,https://www.nantes.aeroport.fr/,1928
